stock_id,name,eps_Y,eps_ttm,rev,rev_mom,rev_qoq,rev_yoy,gross_margin,gross_margin_qoq,gross_margin_yoy_diff,operating_margin,operating_margin_qoq,operating_margin_yoy_diff,net_margin,net_margin_qoq,net_margin_yoy_diff,per_latest,per_60d_high,per_60d_low,pbr_latest,pbr_60d_high,pbr_60d_low,period_start,period_end,eps_Y_is_prev,eps_ttm_is_prev,gross_margin_is_prev,operating_margin_is_prev,net_margin_is_prev,per_latest_is_prev,pbr_latest_is_prev,static_updated_at,static_status,static_reason,eps_status,eps_reason,revenue_status,revenue_reason,profit_status,profit_reason,valuation_status,valuation_reason,finmind_token_status,finmind_token_source,finmind_token_masked,finmind_user_count,finmind_api_request_limit,finmind_remain,finmind_usage_checked_at
2454,聯發科,15.17,62.91,46.74,-26.07,-0.51,-4.14,46.3,0.17,-1.84,15.35,0.8,-4.25,16.34,0.98,-2.92,72.59,73.94,22.2,18.63,18.98,5.84,,,False,False,False,False,False,False,False,2026-06-01 22:35:54,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:35:56
2455,全新,1.06,3.17,0.32,2.36,-6.38,37.75,38.09,0.82,-1.81,23.63,1.85,1.08,20.34,0.14,0.52,131.07,140.06,87.5,20.95,22.39,14.53,2026-05-27,2026-06-09,False,False,False,False,False,False,False,2026-06-01 22:35:56,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:35:59
2467,志聖,3.06,7.55,0.89,-0.26,-10.31,86.98,49.47,5.37,6.45,24.37,8.51,10.59,21.33,4.88,8.96,84.71,111.74,71.41,11.95,14.18,9.13,,,False,False,False,False,False,False,False,2026-06-01 22:35:59,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:36:02
2481,強茂,0.75,3.14,1.3,4.44,4.35,8.76,32.74,0.07,2.41,6.5,-1.31,-1.02,9.04,-3.11,-1.13,49.84,51.59,30.48,4.14,4.28,2.48,,,False,False,False,False,False,False,False,2026-06-01 22:36:03,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:36:05
2486,一詮,0.29,0.52,0.67,8.52,19.43,21.16,21.05,5.19,6.54,6.99,5.64,6.21,3.81,2.4,3.34,522.55,1395.45,488.24,11.82,13.73,6.46,,,False,False,False,False,False,False,False,2026-06-01 22:36:06,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:36:08
2912,統一超,2.97,10.96,29.91,0.51,-2.65,4.88,34.58,0.51,0.63,4.26,1.31,-0.02,4.03,0.82,0.01,20.74,22.12,18.82,5.09,5.83,4.62,,,False,False,False,False,False,False,False,2026-06-01 22:36:09,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:36:11
3008,大立光,46.63,157.76,5.36,-1.06,-2.48,22.57,49.41,1.44,-5.22,37.39,0.64,-4.36,39.73,0.23,-5.15,23.94,24.0,13.36,2.72,2.72,1.5,2026-05-20,2026-06-02,False,False,False,False,False,False,False,2026-06-01 22:36:12,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:36:14
3013,晟銘電,1.37,4.56,1.32,12.2,7.5,40.66,21.15,-0.05,4.79,13.33,-1.0,5.04,9.6,-1.07,2.43,27.08,30.02,21.6,4.6,4.77,3.67,,,False,False,False,False,False,False,False,2026-06-01 22:36:15,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:36:17
3017,奇鋐,20.17,61.06,15.63,-13.24,-8.07,71.62,29.77,3.38,3.94,24.51,3.55,5.82,17.69,2.5,2.65,45.76,60.2,38.45,24.2,25.89,17.85,,,False,False,False,False,False,False,False,2026-06-01 22:36:17,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:36:20
3023,信邦,3.6,12.77,2.96,1.85,5.43,14.97,24.51,0.87,0.0,11.53,2.38,-1.5,10.4,1.28,-0.9,24.9,24.9,20.05,4.36,4.36,3.77,,,False,False,False,False,False,False,False,2026-06-01 22:36:21,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:36:23
3035,智原,0.4,1.88,0.97,-9.33,23.18,-43.12,47.3,5.14,27.02,3.7,0.84,-1.26,5.22,-2.68,0.49,112.23,116.22,49.47,4.03,4.17,2.77,,,False,False,False,False,False,False,False,2026-06-01 22:36:24,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:36:26
3037,欣興,3.28,7.06,13.93,6.53,9.13,27.64,17.96,2.19,4.58,7.36,0.54,3.15,14.37,3.08,11.3,154.41,194.21,118.09,14.71,15.2,7.97,,,False,False,False,False,False,False,False,2026-06-01 22:36:27,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:36:29
3042,晶技,1.32,5.22,1.29,16.28,5.92,1.42,32.33,0.15,-3.06,15.08,1.01,-1.2,13.5,-0.11,-1.36,38.65,41.51,17.29,4.55,4.89,1.96,,,False,False,False,False,False,False,False,2026-06-01 22:36:30,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:36:32
3044,健鼎,5.61,20.58,8.2,12.07,5.84,28.9,26.51,1.04,1.54,18.34,1.26,1.69,14.05,1.03,0.3,25.17,25.71,17.81,4.67,4.86,3.37,,,False,False,False,False,False,False,False,2026-06-01 22:36:33,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:36:36
3081,聯亞,3.44,7.64,0.4,15.16,46.01,115.38,54.76,6.09,22.41,41.27,8.48,31.42,35.11,5.48,25.81,352.83,629.83,321.29,58.6,68.97,40.3,,,False,False,False,False,False,False,False,2026-06-01 22:36:36,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:36:39
3131,弘塑,16.11,52.85,0.54,9.73,1.83,-4.36,33.78,-8.32,-7.03,13.15,-16.41,-9.16,28.87,2.74,8.32,62.14,76.63,49.11,23.79,26.49,17.39,,,False,False,False,False,False,False,False,2026-06-01 22:36:39,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:36:42
3163,波若威,3.03,8.64,0.2,-19.53,-15.15,16.5,18.86,0.6,1.06,5.32,0.29,0.67,37.15,-0.42,27.76,122.69,208.2,104.17,26.74,33.94,22.7,,,False,False,False,False,False,False,False,2026-06-01 22:36:42,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:36:47
3167,大量,3.19,10.3,0.86,11.53,43.41,114.23,42.34,0.22,8.06,21.03,2.79,9.62,14.49,-0.76,3.83,76.61,106.3,55.0,19.44,22.27,11.52,2026-05-26,2026-06-08,False,False,False,False,False,False,False,2026-06-01 22:36:47,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:36:50
3189,景碩,1.17,4.07,4.07,3.38,2.81,26.75,21.16,-0.98,-1.36,8.02,-0.5,2.21,7.89,-0.79,0.79,218.03,218.03,96.28,9.45,9.45,4.69,2026-05-28,2026-06-10,False,False,False,False,False,False,False,2026-06-01 22:36:50,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:36:53
3231,緯創,3.06,10.23,283.44,-14.89,24.11,111.99,5.21,-0.41,-2.6,3.44,-0.09,-0.93,2.13,-0.14,-1.09,17.45,17.45,13.29,2.91,2.91,2.21,,,False,False,False,False,False,False,False,2026-06-01 22:36:53,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:36:56
3234,光環,-0.32,-1.79,0.06,-2.73,-7.77,12.18,9.79,1.41,-19.72,-21.81,10.64,-23.82,-19.91,10.11,-22.96,0.0,0.0,0.0,18.54,18.61,12.42,,,False,False,False,False,False,False,False,2026-06-01 22:36:56,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:36:59
3289,宜特,2.05,5.16,0.37,6.12,-7.19,-3.8,17.27,-8.33,-13.91,-6.84,-11.33,-17.63,15.71,11.87,5.38,34.47,43.76,26.61,3.01,3.9,2.37,,,False,False,False,False,False,False,False,2026-06-01 22:36:59,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:37:02
3324,雙鴻,12.61,35.15,2.84,-14.62,-6.56,40.9,29.66,3.29,2.3,17.77,3.7,5.01,14.8,1.97,2.81,33.04,42.99,27.1,7.94,10.12,6.51,,,False,False,False,False,False,False,False,2026-06-01 22:37:02,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:37:05
3363,上詮,-0.98,-0.83,0.13,9.1,-6.39,-37.3,1.88,-10.55,-15.27,-40.86,-31.71,-39.2,-28.02,-22.3,-28.29,0.0,6187.5,0.0,16.03,40.24,15.36,,,False,False,False,False,False,False,False,2026-06-01 22:37:05,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:37:08
3374,精材,1.42,5.15,0.72,3.48,11.13,25.64,29.66,-3.16,-0.07,23.62,-3.69,1.51,20.09,-4.79,-2.06,50.68,54.09,30.96,6.97,7.44,4.3,,,False,False,False,False,False,False,False,2026-06-01 22:37:08,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:37:11
3443,創意,12.28,33.24,4.29,11.23,1.37,156.85,27.2,8.16,-0.89,15.93,5.8,0.34,14.38,5.03,0.69,140.04,172.38,82.47,42.77,52.65,24.08,,,False,False,False,False,False,False,False,2026-06-01 22:37:11,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:37:14
3450,聯鈞,0.69,3.36,0.88,20.62,16.8,45.5,24.8,-1.87,-11.36,12.75,-2.87,-11.33,8.6,-7.54,-12.28,160.42,160.42,48.1,15.06,15.06,6.93,,,False,False,False,False,False,False,False,2026-06-01 22:37:14,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:37:17
3491,昇達科,3.68,9.31,0.35,6.17,-5.51,83.99,57.98,-0.59,7.41,30.74,3.17,3.85,24.81,-1.09,1.72,236.87,240.7,184.9,42.75,43.44,28.43,2026-05-26,2026-06-08,False,False,False,False,False,False,False,2026-06-01 22:37:17,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:37:20
3529,力旺,7.98,27.4,0.61,406.0,-8.08,12.93,100.0,0.0,0.0,60.55,-0.09,3.26,56.28,1.11,6.49,119.71,171.88,102.73,55.19,85.54,51.13,,,False,False,False,False,False,False,False,2026-06-01 22:37:20,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:37:23
3563,牧德,4.61,15.18,0.34,1.4,42.99,3.75,60.58,0.72,-3.77,38.68,8.84,-0.97,34.32,-5.43,-3.95,52.68,60.57,49.05,10.13,11.45,8.73,,,False,False,False,False,False,False,False,2026-06-01 22:37:23,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:37:26
3583,辛耘,4.14,14.76,0.99,-6.11,-2.8,10.8,33.58,-3.53,1.86,12.95,-2.19,0.55,10.99,-1.21,1.41,58.78,65.49,33.36,9.12,11.84,6.11,,,False,False,False,False,False,False,False,2026-06-01 22:37:26,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:37:29
3587,閎康,2.24,7.57,0.54,0.48,18.9,22.53,30.89,0.87,6.61,12.7,2.25,6.22,10.53,2.17,6.46,43.08,60.49,37.21,4.27,5.22,3.12,,,False,False,False,False,False,False,False,2026-06-01 22:37:30,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:37:32
3605,宏致,0.67,3.65,1.12,14.55,6.26,16.51,24.59,-2.06,-0.1,5.23,0.17,0.67,3.82,-1.13,-4.01,22.89,24.08,14.88,1.63,1.88,1.24,,,False,False,False,False,False,False,False,2026-06-01 22:37:32,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:37:35
3645,達邁,0.67,1.9,0.24,3.56,36.71,16.43,35.12,3.79,12.86,18.83,6.65,10.97,15.52,1.52,8.43,56.32,74.84,45.42,4.31,4.75,2.88,,,False,False,False,False,False,False,False,2026-06-01 22:37:35,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:37:38
3653,健策,9.53,36.7,2.31,6.82,23.39,26.92,41.78,0.53,-3.13,31.98,0.72,-3.08,26.47,-0.8,-2.46,106.22,151.42,83.82,26.6,34.98,20.99,,,False,False,False,False,False,False,False,2026-06-01 22:37:39,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:37:41
